# curve 5 (die wall), step =        1, time =   4.00000000E-01
# N1 = tau_xx - tau_yy = G ( c_xx - c_yy ),  G =  7.1111E-01  (polymer part only)
#              x               y        pressure            c_xy        gammadot            c_xx            c_yy              N1
 -3.00000000E+00  1.00000000E+00  1.01534465E+00  0.00000000E+00  3.99992886E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.95108291E+00  1.00000000E+00  9.99869664E-01  0.00000000E+00  3.99995624E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.90216582E+00  1.00000000E+00  9.84394672E-01  0.00000000E+00  3.99998126E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.85324873E+00  1.00000000E+00  9.68914142E-01  0.00000000E+00  3.99999149E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.80433164E+00  1.00000000E+00  9.53433611E-01  0.00000000E+00  3.99999610E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.75541455E+00  1.00000000E+00  9.37954310E-01  0.00000000E+00  3.99999794E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.70649746E+00  1.00000000E+00  9.22475009E-01  0.00000000E+00  3.99999871E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.65758037E+00  1.00000000E+00  9.06995333E-01  0.00000000E+00  3.99999778E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.60866328E+00  1.00000000E+00  8.91515656E-01  0.00000000E+00  3.99999627E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.55974619E+00  1.00000000E+00  8.76036077E-01  0.00000000E+00  3.99999377E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.51082911E+00  1.00000000E+00  8.60556499E-01  0.00000000E+00  3.99999086E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.46191202E+00  1.00000000E+00  8.45076879E-01  0.00000000E+00  3.99998699E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.41299493E+00  1.00000000E+00  8.29597260E-01  0.00000000E+00  3.99998278E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.36407784E+00  1.00000000E+00  8.14117711E-01  0.00000000E+00  3.99997660E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.31516075E+00  1.00000000E+00  7.98638161E-01  0.00000000E+00  3.99996950E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.26624366E+00  1.00000000E+00  7.83158680E-01  0.00000000E+00  3.99995951E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.21732657E+00  1.00000000E+00  7.67679198E-01  0.00000000E+00  3.99994803E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
