# curve 5 (die wall), step =        1, time =   8.00000000E-01
# N1 = tau_xx - tau_yy = G ( c_xx - c_yy ),  G =  2.0000E-01  (polymer part only)
#              x               y        pressure            c_xy        gammadot            c_xx            c_yy              N1
 -3.00000000E+00  1.00000000E+00  2.46639505E+00  0.00000000E+00  3.99989638E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.95108291E+00  1.00000000E+00  2.42877831E+00  0.00000000E+00  3.99993968E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.90216582E+00  1.00000000E+00  2.39116156E+00  0.00000000E+00  3.99998012E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.85324873E+00  1.00000000E+00  2.35353080E+00  0.00000000E+00  3.99999690E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.80433164E+00  1.00000000E+00  2.31590004E+00  0.00000000E+00  4.00000134E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.75541455E+00  1.00000000E+00  2.27827168E+00  0.00000000E+00  4.00000143E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.70649746E+00  1.00000000E+00  2.24064332E+00  0.00000000E+00  4.00000078E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.65758037E+00  1.00000000E+00  2.20301453E+00  0.00000000E+00  3.99999909E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.60866328E+00  1.00000000E+00  2.16538574E+00  0.00000000E+00  3.99999690E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.55974619E+00  1.00000000E+00  2.12775708E+00  0.00000000E+00  3.99999420E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.51082911E+00  1.00000000E+00  2.09012842E+00  0.00000000E+00  3.99999121E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.46191202E+00  1.00000000E+00  2.05249975E+00  0.00000000E+00  3.99998725E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.41299493E+00  1.00000000E+00  2.01487107E+00  0.00000000E+00  3.99998290E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.36407784E+00  1.00000000E+00  1.97724250E+00  0.00000000E+00  3.99997659E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.31516075E+00  1.00000000E+00  1.93961392E+00  0.00000000E+00  3.99996953E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.26624366E+00  1.00000000E+00  1.90198546E+00  0.00000000E+00  3.99995944E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.21732657E+00  1.00000000E+00  1.86435700E+00  0.00000000E+00  3.99994788E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.16840948E+00  1.00000000E+00  1.82672870E+00  0.00000000E+00  3.99993252E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.11949239E+00  1.00000000E+00  1.78910040E+00  0.00000000E+00  3.99991546E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.07057530E+00  1.00000000E+00  1.75147289E+00  0.00000000E+00  3.99989128E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.02165821E+00  1.00000000E+00  1.71384537E+00  0.00000000E+00  3.99986335E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.97274112E+00  1.00000000E+00  1.67621851E+00  0.00000000E+00  3.99982980E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.92382403E+00  1.00000000E+00  1.63859165E+00  0.00000000E+00  3.99979026E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.87490694E+00  1.00000000E+00  1.60096651E+00  0.00000000E+00  3.99973928E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.82598985E+00  1.00000000E+00  1.56334137E+00  0.00000000E+00  3.99968222E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.77707276E+00  1.00000000E+00  1.52571969E+00  0.00000000E+00  3.99961079E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.72815567E+00  1.00000000E+00  1.48809801E+00  0.00000000E+00  3.99952182E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
