# curve 5 (die wall), step =        1, time =   8.00000000E-01
# N1 = tau_xx - tau_yy = G ( c_xx - c_yy ),  G =  1.2857E-01  (polymer part only)
#              x               y        pressure            c_xy        gammadot            c_xx            c_yy              N1
 -3.00000000E+00  1.00000000E+00  4.93861217E-01  0.00000000E+00  3.99994565E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.95108291E+00  1.00000000E+00  4.86338485E-01  0.00000000E+00  3.99996465E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.90216582E+00  1.00000000E+00  4.78815752E-01  0.00000000E+00  3.99998639E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.85324873E+00  1.00000000E+00  4.71288900E-01  0.00000000E+00  3.99999644E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.80433164E+00  1.00000000E+00  4.63762048E-01  0.00000000E+00  3.99999878E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.75541455E+00  1.00000000E+00  4.56236672E-01  0.00000000E+00  3.99999900E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.70649746E+00  1.00000000E+00  4.48711297E-01  0.00000000E+00  3.99999933E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.65758037E+00  1.00000000E+00  4.41185428E-01  0.00000000E+00  3.99999854E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.60866328E+00  1.00000000E+00  4.33659560E-01  0.00000000E+00  3.99999692E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.55974619E+00  1.00000000E+00  4.26133858E-01  0.00000000E+00  3.99999424E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.51082911E+00  1.00000000E+00  4.18608156E-01  0.00000000E+00  3.99999122E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.46191202E+00  1.00000000E+00  4.11082400E-01  0.00000000E+00  3.99998728E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.41299493E+00  1.00000000E+00  4.03556644E-01  0.00000000E+00  3.99998297E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.36407784E+00  1.00000000E+00  3.96030941E-01  0.00000000E+00  3.99997675E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.31516075E+00  1.00000000E+00  3.88505238E-01  0.00000000E+00  3.99996964E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.26624366E+00  1.00000000E+00  3.80979571E-01  0.00000000E+00  3.99995973E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.21732657E+00  1.00000000E+00  3.73453904E-01  0.00000000E+00  3.99994824E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.16840948E+00  1.00000000E+00  3.65928184E-01  0.00000000E+00  3.99993290E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.11949239E+00  1.00000000E+00  3.58402464E-01  0.00000000E+00  3.99991555E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.07057530E+00  1.00000000E+00  3.50877064E-01  0.00000000E+00  3.99989039E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.02165821E+00  1.00000000E+00  3.43351663E-01  0.00000000E+00  3.99986279E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.97274112E+00  1.00000000E+00  3.35826140E-01  0.00000000E+00  3.99983107E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.92382403E+00  1.00000000E+00  3.28300618E-01  0.00000000E+00  3.99979297E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.87490694E+00  1.00000000E+00  3.20775644E-01  0.00000000E+00  3.99974181E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.82598985E+00  1.00000000E+00  3.13250670E-01  0.00000000E+00  3.99968409E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.77707276E+00  1.00000000E+00  3.05726258E-01  0.00000000E+00  3.99961047E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.72815567E+00  1.00000000E+00  2.98201845E-01  0.00000000E+00  3.99952311E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.67923858E+00  1.00000000E+00  2.90678757E-01  0.00000000E+00  3.99940928E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.63032150E+00  1.00000000E+00  2.83155668E-01  0.00000000E+00  3.99928976E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.58140441E+00  1.00000000E+00  2.75632736E-01  0.00000000E+00  3.99915073E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.53248732E+00  1.00000000E+00  2.68109804E-01  0.00000000E+00  3.99900883E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.48357023E+00  1.00000000E+00  2.60590406E-01  0.00000000E+00  3.99884021E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.43465314E+00  1.00000000E+00  2.53071009E-01  0.00000000E+00  3.99864115E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.38573605E+00  1.00000000E+00  2.45557526E-01  0.00000000E+00  3.99838823E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.33681896E+00  1.00000000E+00  2.38044042E-01  0.00000000E+00  3.99816038E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.28790187E+00  1.00000000E+00  2.30532528E-01  0.00000000E+00  3.99793935E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.23898478E+00  1.00000000E+00  2.23021014E-01  0.00000000E+00  3.99770835E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.19006769E+00  1.00000000E+00  2.15520335E-01  0.00000000E+00  3.99749479E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.14115060E+00  1.00000000E+00  2.08019657E-01  0.00000000E+00  3.99730313E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.09223351E+00  1.00000000E+00  2.00538914E-01  0.00000000E+00  3.99733783E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.04331642E+00  1.00000000E+00  1.93058172E-01  0.00000000E+00  3.99742255E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -9.94399333E-01  1.00000000E+00  1.85589308E-01  0.00000000E+00  3.99776042E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -9.45482243E-01  1.00000000E+00  1.78120445E-01  0.00000000E+00  3.99824804E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -8.96565154E-01  1.00000000E+00  1.70680746E-01  0.00000000E+00  3.99946049E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -8.47648064E-01  1.00000000E+00  1.63241047E-01  0.00000000E+00  4.00091704E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -7.99501858E-01  1.00000000E+00  1.55971811E-01  0.00000000E+00  4.00364879E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -7.51355652E-01  1.00000000E+00  1.48702575E-01  0.00000000E+00  4.00691528E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -7.08111109E-01  1.00000000E+00  1.42224165E-01  0.00000000E+00  4.01164629E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -6.64866566E-01  1.00000000E+00  1.35745755E-01  0.00000000E+00  4.01770146E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -6.26599939E-01  1.00000000E+00  1.30024789E-01  0.00000000E+00  4.02572435E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -5.88333313E-01  1.00000000E+00  1.24303824E-01  0.00000000E+00  4.03502955E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -5.54471587E-01  1.00000000E+00  1.19396513E-01  0.00000000E+00  4.04737835E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -5.20609860E-01  1.00000000E+00  1.14489203E-01  0.00000000E+00  4.06098885E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -4.90645977E-01  1.00000000E+00  1.10005743E-01  0.00000000E+00  4.07685740E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -4.60682095E-01  1.00000000E+00  1.05522283E-01  0.00000000E+00  4.09408803E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -4.34167380E-01  1.00000000E+00  1.01934789E-01  0.00000000E+00  4.11604790E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -4.07652666E-01  1.00000000E+00  9.83472953E-02  0.00000000E+00  4.14019800E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -3.84190072E-01  1.00000000E+00  9.49276826E-02  0.00000000E+00  4.16562828E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -3.60727478E-01  1.00000000E+00  9.15080699E-02  0.00000000E+00  4.19290370E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -3.39965684E-01  1.00000000E+00  8.86572957E-02  0.00000000E+00  4.22580347E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -3.19203889E-01  1.00000000E+00  8.58065215E-02  0.00000000E+00  4.26029971E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -3.00831998E-01  1.00000000E+00  8.33075747E-02  0.00000000E+00  4.29840903E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.82460107E-01  1.00000000E+00  8.08086279E-02  0.00000000E+00  4.34074388E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.66203017E-01  1.00000000E+00  7.87563930E-02  0.00000000E+00  4.38787707E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.49945927E-01  1.00000000E+00  7.67041581E-02  0.00000000E+00  4.43682340E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.35560203E-01  1.00000000E+00  7.48261896E-02  0.00000000E+00  4.48792968E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.21174479E-01  1.00000000E+00  7.29482211E-02  0.00000000E+00  4.54367204E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.08421419E-01  1.00000000E+00  7.12340310E-02  0.00000000E+00  4.60507798E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.95668358E-01  1.00000000E+00  6.95198410E-02  0.00000000E+00  4.67056256E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.83439085E-01  1.00000000E+00  6.83222569E-02  0.00000000E+00  4.74536476E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.71209813E-01  1.00000000E+00  6.71246728E-02  0.00000000E+00  4.82329007E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.58980541E-01  1.00000000E+00  6.57979971E-02  0.00000000E+00  4.91848425E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.46751268E-01  1.00000000E+00  6.44713214E-02  0.00000000E+00  5.02147562E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.34521996E-01  1.00000000E+00  6.30670227E-02  0.00000000E+00  5.14894514E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.22292724E-01  1.00000000E+00  6.16627240E-02  0.00000000E+00  5.27981854E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.10063451E-01  1.00000000E+00  5.96837543E-02  0.00000000E+00  5.47465841E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
