# lambda   beta     eta0     Wi         Sr_end(D/h)      Sr_max           last_step 
  0.5      0.05     1.0      0.1500     1.12463551E+00   1.12477749E+00   1000      
  0.5      0.08     1.0      0.1500     1.12477168E+00   1.12491355E+00   1000      
  0.5      0.1      1.0      0.1500     1.12486322E+00   1.12500502E+00   1000      
  0.5      0.2      1.0      0.1500     1.12533102E+00   1.12547245E+00   1000      
  0.5      0.4      1.0      0.1500     1.12632643E+00   1.12646708E+00   1000      
  0.5      0.6      1.0      0.1500     1.12741867E+00   1.12755847E+00   1000      
  0.5      0.8      1.0      0.1500     1.12861958E+00   1.12875845E+00   1000      
  0.5      0.9      1.0      0.1500     1.12925994E+00   1.12939831E+00   1000      
  0.75     0.05     1.0      0.2250     1.12941453E+00   1.12956374E+00   1000      
  0.75     0.08     1.0      0.2250     1.12940320E+00   1.12955212E+00   1000      
  0.75     0.1      1.0      0.2250     1.12939506E+00   1.12954377E+00   1000      
  0.75     0.2      1.0      0.2250     1.12935084E+00   1.12949851E+00   1000      
  0.75     0.4      1.0      0.2250     1.12928329E+00   1.12942873E+00   1000      
  0.75     0.6      1.0      0.2250     1.12931833E+00   1.12946138E+00   1000      
  0.75     0.8      1.0      0.2250     1.12952432E+00   1.12966484E+00   1000      
  0.75     0.9      1.0      0.2250     1.12970102E+00   1.12984022E+00   1000      
  1        0.05     1.0      0.3000     1.13793463E+00   1.13809485E+00   1000      
  1        0.08     1.0      0.3000     1.13771323E+00   1.13787288E+00   1000      
  1        0.1      1.0      0.3000     1.13756046E+00   1.13771972E+00   1000      
  1        0.2      1.0      0.3000     1.13674444E+00   1.13690169E+00   1000      
  1        0.4      1.0      0.3000     1.13494835E+00   1.13510123E+00   1000      
  1        0.6      1.0      0.3000     1.13311240E+00   1.13326054E+00   1000      
  1        0.8      1.0      0.3000     1.13140661E+00   1.13154972E+00   1000      
  1        0.9      1.0      0.3000     1.13063607E+00   1.13077658E+00   1000      
  3        0.05     1.0      0.9000     1.27391300E+00   1.27432118E+00   1000      
  3        0.08     1.0      0.9000     1.27245468E+00   1.27285707E+00   1000      
  3        0.1      1.0      0.9000     1.27134390E+00   1.27174230E+00   1000      
  3        0.2      1.0      0.9000     1.26416617E+00   1.26454408E+00   1000      
  3        0.4      1.0      0.9000     1.24205041E+00   1.24237932E+00   1000      
  3        0.6      1.0      0.9000     1.21143335E+00   1.21170401E+00   1000      
  3        0.8      1.0      0.9000     1.17400701E+00   1.17421240E+00   1000      
  3        0.9      1.0      0.9000     1.15281822E+00   1.15298898E+00   1000      
  5        0.05     1.0      1.5000     1.45321617E+00   1.45416548E+00   1000      
  5        0.08     1.0      1.5000     1.44857583E+00   1.44951032E+00   1000      
  5        0.1      1.0      1.5000     1.44566671E+00   1.44659042E+00   1000      
  5        0.2      1.0      1.5000     1.43130799E+00   1.43216895E+00   1000      
  5        0.4      1.0      1.5000     1.39319284E+00   1.39390288E+00   1000      
  5        0.6      1.0      1.5000     1.33400598E+00   1.33453954E+00   1000      
  5        0.8      1.0      1.5000     1.24921193E+00   1.24952799E+00   1000      
  5        0.9      1.0      1.5000     1.19486508E+00   1.19505738E+00   1000      
  7        0.05     1.0      2.1000     1.68603231E+00   1.68741074E+00   1000      
  7        0.08     1.0      2.1000     1.67482201E+00   1.67620568E+00   1000      
  7        0.1      1.0      2.1000     1.66749174E+00   1.66887477E+00   1000      
  7        0.2      1.0      2.1000     1.62851561E+00   1.62987644E+00   1000      
  7        0.4      1.0      2.1000     1.55411174E+00   1.55526894E+00   1000      
  7        0.6      1.0      2.1000     1.46838087E+00   1.46921854E+00   1000      
  7        0.8      1.0      2.1000     1.33999279E+00   1.34039882E+00   1000      
  7        0.9      1.0      2.1000     1.25018317E+00   1.25031130E+00   1000      
  9        0.05     1.0      2.7000     1.87902473E+00   1.88059972E+00   1000      
  9        0.08     1.0      2.7000     1.87428509E+00   1.87583035E+00   1000      
  9        0.1      1.0      2.7000     1.87058179E+00   1.87210827E+00   1000      
  9        0.2      1.0      2.7000     1.84407208E+00   1.84552123E+00   1000      
  9        0.4      1.0      2.7000     1.73052407E+00   1.73193715E+00   1000      
  9        0.6      1.0      2.7000     1.60483289E+00   1.60590318E+00   1000      
  9        0.8      1.0      2.7000     1.43648827E+00   1.43694724E+00   1000      
  9        0.9      1.0      2.7000     1.31333615E+00   1.31338059E+00   1000      
