 comppar: model =   2
 comppar: lambda,mobility/eps,betav,eta_0 =  5.0000E+00  0.0000E+00  5.0000E-01  2.0000E+00
 comppar: eta_s,eta_p,G =  1.0000E+00  1.0000E+00  2.0000E-01
 comppar: U_avg,deltat,flowrate,nsteps =  1.0000E-01  4.0000E-01  3.1416E-01    1000
 comppar: geometry = axisymmetric
 comppar: steady stop change,gap,hold,min =  1.0000E-05  2.0000E-04       1      80
 comppar: steady stop rounded decimals =       3
 comppar: ncompc,ncompg =     4     5
 mesh nnodes = 12449
 mesh nelem = 6002
 P1 BC   10.000000000000000     
 P2 BC   0.0000000000000000     
     1  4.00000000E-01  1.00504258E+00  1.00000000E+00  1.00504258E+00
     2  8.00000000E-01  1.00991970E+00  1.00000000E+00  1.00991970E+00
     3  1.20000000E+00  1.01462994E+00  1.00000000E+00  1.01462994E+00
     4  1.60000000E+00  1.01919616E+00  1.00000000E+00  1.01919616E+00
     5  2.00000000E+00  1.02363322E+00  1.00000000E+00  1.02363322E+00
     6  2.40000000E+00  1.02796636E+00  1.00000000E+00  1.02796636E+00
     7  2.80000000E+00  1.03222093E+00  1.00000000E+00  1.03222093E+00
     8  3.20000000E+00  1.03641866E+00  1.00000000E+00  1.03641866E+00
     9  3.60000000E+00  1.04056821E+00  1.00000000E+00  1.04056821E+00
    10  4.00000000E+00  1.04468525E+00  1.00000000E+00  1.04468525E+00
    11  4.40000000E+00  1.04882438E+00  1.00000000E+00  1.04882438E+00
    12  4.80000000E+00  1.05295160E+00  1.00000000E+00  1.05295160E+00
    13  5.20000000E+00  1.05706464E+00  1.00000000E+00  1.05706464E+00
    14  5.60000000E+00  1.06124538E+00  1.00000000E+00  1.06124538E+00
    15  6.00000000E+00  1.06537380E+00  1.00000000E+00  1.06537380E+00
    16  6.40000000E+00  1.06960833E+00  1.00000000E+00  1.06960833E+00
    17  6.80000000E+00  1.07379976E+00  1.00000000E+00  1.07379976E+00
    18  7.20000000E+00  1.07806722E+00  1.00000000E+00  1.07806722E+00
    19  7.60000000E+00  1.08233172E+00  1.00000000E+00  1.08233172E+00
    20  8.00000000E+00  1.08658276E+00  1.00000000E+00  1.08658276E+00
    21  8.40000000E+00  1.09094477E+00  1.00000000E+00  1.09094477E+00
    22  8.80000000E+00  1.09526768E+00  1.00000000E+00  1.09526768E+00
    23  9.20000000E+00  1.09957389E+00  1.00000000E+00  1.09957389E+00
    24  9.60000000E+00  1.10398673E+00  1.00000000E+00  1.10398673E+00
    25  1.00000000E+01  1.10836666E+00  1.00000000E+00  1.10836666E+00
    26  1.04000000E+01  1.11271852E+00  1.00000000E+00  1.11271852E+00
    27  1.08000000E+01  1.11704906E+00  1.00000000E+00  1.11704906E+00
    28  1.12000000E+01  1.12148821E+00  1.00000000E+00  1.12148821E+00
    29  1.16000000E+01  1.12590048E+00  1.00000000E+00  1.12590048E+00
    30  1.20000000E+01  1.13028915E+00  1.00000000E+00  1.13028915E+00
    31  1.24000000E+01  1.13465646E+00  1.00000000E+00  1.13465646E+00
    32  1.28000000E+01  1.13900322E+00  1.00000000E+00  1.13900322E+00
    33  1.32000000E+01  1.14335190E+00  1.00000000E+00  1.14335190E+00
    34  1.36000000E+01  1.14773984E+00  1.00000000E+00  1.14773984E+00
    35  1.40000000E+01  1.15209938E+00  1.00000000E+00  1.15209938E+00
    36  1.44000000E+01  1.15642722E+00  1.00000000E+00  1.15642722E+00
    37  1.48000000E+01  1.16071805E+00  1.00000000E+00  1.16071805E+00
    38  1.52000000E+01  1.16496451E+00  1.00000000E+00  1.16496451E+00
    39  1.56000000E+01  1.16915723E+00  1.00000000E+00  1.16915723E+00
    40  1.60000000E+01  1.17341184E+00  1.00000000E+00  1.17341184E+00
    41  1.64000000E+01  1.17761690E+00  1.00000000E+00  1.17761690E+00
    42  1.68000000E+01  1.18175418E+00  1.00000000E+00  1.18175418E+00
    43  1.72000000E+01  1.18581193E+00  1.00000000E+00  1.18581193E+00
    44  1.76000000E+01  1.18977724E+00  1.00000000E+00  1.18977724E+00
    45  1.80000000E+01  1.19381384E+00  1.00000000E+00  1.19381384E+00
    46  1.84000000E+01  1.19778481E+00  1.00000000E+00  1.19778481E+00
    47  1.88000000E+01  1.20165031E+00  1.00000000E+00  1.20165031E+00
    48  1.92000000E+01  1.20539779E+00  1.00000000E+00  1.20539779E+00
    49  1.96000000E+01  1.20904618E+00  1.00000000E+00  1.20904618E+00
    50  2.00000000E+01  1.21281533E+00  1.00000000E+00  1.21281533E+00
    51  2.04000000E+01  1.21645901E+00  1.00000000E+00  1.21645901E+00
    52  2.08000000E+01  1.21996813E+00  1.00000000E+00  1.21996813E+00
    53  2.12000000E+01  1.22333650E+00  1.00000000E+00  1.22333650E+00
    54  2.16000000E+01  1.22679722E+00  1.00000000E+00  1.22679722E+00
    55  2.20000000E+01  1.23019246E+00  1.00000000E+00  1.23019246E+00
    56  2.24000000E+01  1.23344511E+00  1.00000000E+00  1.23344511E+00
    57  2.28000000E+01  1.23655548E+00  1.00000000E+00  1.23655548E+00
